url,speaker,description,talk,time
/madrid2016/schedule/presentation/6/,Claudia Guirao Fernández,"Whoosh lets you index free-form or structured text and then quickly find matching documents based on simple or complex search criteria. Whoosh is a fast, pure Python search engine library.You can use Whoosh anywhere you can use Python, no compiler or Java required. ",Whoosh: a fast pure-Python search engine library,Sunday            12:1513:00
/madrid2016/schedule/presentation/24/,Jesús Sánchez,"Twitter has a lot of information that can be very useful if we know how to extract the relevant pieces. The main topic of the talk is to show an architecture (well tested in production). The architecture uses technologies like RabbitMQ, CouchDB, ElasticSearch, Kibana, a lot of Python and Spark Streaming with Scala. We will focus on the motivations to choose those components and how we extract the information and how we take the decisions about the obtained datasets.",An Architecture to Tweet Them All,Sunday            17:3018:15
/madrid2016/schedule/presentation/11/,Miguel Sánchez de León Peque,"Nowadays Python is the perfect environment for developing a real-time automated trading tool. In this talk we will discuss the development of: a general-purpose multiagent-system module using Pyro and ZeroMQ; a platform, based on it, for developing automated trading strategies using Numpy, Numba, Theano, etc.; and a GUI for visualizing real-time market data using PyQtGraph and Qt.",Python for developing a real-time automated trading platform,Sunday            13:0013:45
/madrid2016/schedule/presentation/12/,Ricardo Pio Monti,"Deep Boltzmann machines (DBMs) are exciting for a variety of reasons, principal among which is the fact that they are able to learn probabilistic representations of data in an entirely unsupervised manner. In this talk I will discuss the process of fitting and interpreting DBMs using a topic modelling example as motivation.  ",Modelling a text corpus using Deep Boltzmann Machines in python,Sunday            15:3016:15
/madrid2016/schedule/presentation/8/,"Jesús Martos Carrizo, Alejandro Sáez Mollejo","The pursuit of safety in aviation is a task that requires our constant vigilance and effort. Throughout the use of a database from the NTSB the motivation of this talk is the use of different Python packages (Pandas, Scikit-learn) in order to answer multiple questions:
Is commercial air transport safer now than 30 years ago?
Which flight phase is safer?
Which are the main accident causes?",Remove before flight: Analysing flight safety data with Python,Sunday            16:1517:00
/madrid2016/schedule/presentation/7/,Nathan Epstein,"What is reinforcement learning and when is it useful? How can it be implemented and applied in Python? This talk will attempt to answer these questions. This will be accomplished in three main sections - an overview of reinforcement learning and its applications, implementation details of the algorithm using Python, and a Python demo of reinforcement learning applied to a real problem.",Reinforcement Learning in Python,Sunday            10:1511:00
/madrid2016/schedule/presentation/17/,"Alejandro Sáez Mollejo, Siro Moreno",The Aeropython’s guide to the Python Galaxy!  ,Basic Python Packages for Science,Friday            9:3011:15
/madrid2016/schedule/presentation/1/,Jaime Fernández,"Advanced (a.k.a. ""fancy"") indexing is one of NumPy's greatest features.
It is also well known for its ability to trip and confuse beginners and
experts alike. This talk will review how it works and why it is great,
give some insight on why it is how it is, explore some of its darkest
corners, and go over some recent proposals to rationalize it.",The Future of NumPy Indexing,Sunday            11:3012:15
/madrid2016/schedule/presentation/19/,Francesc Alted,"Nowadays computers are being designed quite differently as they were made more than a decade ago; however, very little in  software architecture has changed in order to accommodate for the changes in the hardware architecture.  During my talk I am going to describe which those fundamental changes are and how to deal with them from the point of view of a long-time developer.",Handling Big Data on Modern Computers: A Developer's View,Sunday            9:3010:15
/madrid2016/schedule/presentation/20/,Antònia Tugores,"How long would information originating from a given city require to reach any other city if were to pass from person to person only through face to face conversations? Or, what is the likelihood that information reaches a certain distance away after a given time period. We introduce a method to assess the attractiveness of cities using geolocated tweets as a proxy for human mobility.",City attractiveness seen through Twitter,Saturday            17:3018:15
/madrid2016/schedule/presentation/9/,Jose Manuel Ortega,"If we want to extract the contents of a website automating information extraction, often we find that the website does not offer any API to get the data you need and It is necessary use scraping techniques to recover data from a Web automatically. Some of the most powerful tools for extracting the data in web pages can be found in the python ecosystem.",Python tools for webscraping,Saturday            13:0013:45
/madrid2016/schedule/presentation/14/,Pablo Manuel García Corzo,Are traditional monitoring solution ready for the software defined world (SDN/NFV) and the IoT? Analytics can’t be considered anymore as an extra but a must for diving in an ocean of data where threshold-based KPIs are not enough. We will attempt to identify lacks in current tools and design a full stack python monitoring+analytics framework capable to face the new challenges of today.,Towards a full stack python monitoring+analytics framework,Saturday            16:1517:00
/madrid2016/schedule/presentation/4/,Juan Luis Cano Rodríguez,"Installation problems represent half of your mailing list traffic? Nobody in your team knows how to properly configure the Visual Studio compilers? Forcing your users to download a script full of ""sudo"" commands? Providing Docker containers and virtual machines as the only sane way to run your software? No more suffering or pain: create conda packages with conda-build and stop worrying today.","Embrace conda packages: the build system we always needed, but never deserved",Saturday            11:3012:15
/madrid2016/schedule/presentation/5/,Marc Garcia,"No machine learning algorithm dominates in every domain, but random forests are usually tough to beat by much. And they have some advantages compared to other models. No much input preparation needed, implicit feature selection, fast to train, and ability to visualize the model. While it is easy to get started with random forests, a good understanding of the model is key to get the most of them.",Understanding Random Forests,Saturday            10:1511:00
/madrid2016/schedule/presentation/3/,Tomás Gómez Alvarez-Arenas,"The concept of inverse problem (IP) is introduced and compared with complementary approaches (regression analysis, machine learning or bayesian inference). Solution of IPs by applying brute force, Gradient Descent (GD) and stochastic GD techniques is analyzed through some examples using time and frequency domain data: chirps, gravitational waves and resonant ultrasonic spectroscopy.",The solution of inverse problems.,Saturday            15:3016:15
