27 noviembre,Todo lo que siempre quisiste saber sobre bases de datos distribuídas de alta disponibilidad,JAVIER RAMIREZ,10:00-10:45
27 noviembre,El arte de ser vago: Clean Code,CAMILO GALIANA,10:00-10:45
27 noviembre,Arquitecturas distribuidas en la nube,MANU DELGADO,10:00-10:45
27 noviembre,Pensando en Big Data: Un paseo por el Modern Data Warehouse,"RUBEN PERTUSA LOPEZ, MIGUEL EGEA",10:00-10:45
27 noviembre,Azure Web Apps - Deep Dive,ROBERTO GONZALEZ,10:00-10:45
27 noviembre,El diseño de interfaces a través de los tiempos,ELENA TORRO,10:00-10:45
27 noviembre,Hardware en el día a día,MARIO EZQUERRO,10:00-10:45
27 noviembre,Me gusta que los estándares salgan bien.,ISABEL CABEZAS,10:00-10:45
27 noviembre,Transiciones y animaciones en CSS: que empiece el baile,LUIS CALVO DÍAZ,10:00-10:45
27 noviembre,Scrum Lego. ¡A divertirse ágilmente!,SILVANO GIL PÉREZ,10:00-10:45
27 noviembre,Taller exprés de Planificación Ágil,JOSE MANUEL BEAS,10:00-10:45
27 noviembre,Elimina la corrupción: programación funcional pura con Scala,JUAN MANUEL SERRANO HIDALGO,10:00-10:45
27 noviembre,Cómo generar una arquitectura cloud autoescalable para tu software LAMP,"TONI TEBAS, DAVID REGORDOSA AVELLANA",11:00-11:45
27 noviembre,"Seguridad en Cloud Pública, de los mitos a la realidad",OLOF SANDSTROM,11:00-11:45
27 noviembre,Swift 2 para arquitecturas avanzadas,JORGE D ORTIZ FUENTES,11:00-11:45
27 noviembre,Beauty Treatment for your Android Application,JOSE L UGIA,11:00-11:45
27 noviembre,"Web Components + BabylonJS + WebGL, desarrollando mundos 3D con Polymer, ( The Force Awakens )",ISMAEL FARO,11:00-11:45
27 noviembre,Cómo Diseñar Software de Calidad en 4 Pasos,JOSE ÁLVAREZ DE PEREA,11:00-11:45
27 noviembre,Spock: O por qué deberías utilizarlo para testear tu código Java,IVÁN LÓPEZ,11:00-11:45
27 noviembre,Deuda Técnica para desarrolladores... ¡y managers!,LUIS GARCÍA CASTRO,11:00-11:45
27 noviembre,Dando amor a los tests,JOAQUIN ENGELMO MORICHE,12:45-13:30
27 noviembre,Toca Jazz de forma ágil en la cloud,JOSE MIGUEL ORDAX,12:45-13:30
27 noviembre,Android Wear vs Apple Watch. El futuro en tu muñeca,RUTH PARAMIO,12:45-13:30
